swlat,swlon,nelat,nelon,name,woeid,offset
-38.064666748,128.989868164,-25.9984169006,141.004257202,Australia/Adelaide,28350877,
-29.1843338013,137.994949341,-9.18213844299,153.553115845,Australia/Brisbane,28350878,
-26.0067214966,128.995895386,-10.9028606415,138.002716064,Australia/Darwin,28350879,
-43.6439704895,144.337646484,-39.4425544739,148.480560303,Australia/Hobart,28350880,
-20.4604167938,148.873947144,-20.0393619537,149.064468384,Australia/Lindeman,28350881,
-31.5973339081,159.045700073,-31.5107498169,159.111282349,Australia/Lord_Howe,28350882,
-39.4835014343,140.954559326,-34.00963974,149.977966309,Australia/Melbourne,28350883,
-35.1909446716,112.911056519,-13.7348890305,129.005859375,Australia/Perth,28350884,
-37.5053329468,140.999801636,-28.1601104736,153.639251709,Australia/Sydney,28350885,
-32.2923252086,140.999944946,-31.4944950697,141.957197926,Australia/Broken_Hill,56043537,
-32.5647263904,125.5,-31.3,128.993177204,Australia/Eucla,56043538,
-40.1588134766,143.817611694,-39.5813064575,144.138580322,Australia/Currie,56043539,
12.4060926437,-70.0611343384,12.6306180954,-69.8668670654,America/Aruba,28350736,
38.3970565796,44.7719154358,41.9056396484,50.6078338623,Asia/Baku,28350813,
13.0398435593,-59.6489219666,13.3272571564,-59.420375824,America/Barbados,28350738,
20.5852508545,88.0283355713,26.6319446564,92.6736679077,Asia/Dhaka,28350822,
49.4936103821,2.54694437981,51.505443573,6.40386104584,Europe/Brussels,28350891,
9.40110778809,-5.51891613007,15.0825929642,2.40539479256,Africa/Ouagadougou,28350725,
41.2420845032,22.3569164276,44.2154502869,28.6121673584,Europe/Sofia,28350916,
25.5422496796,50.3858604431,26.2825832367,50.8286933899,Asia/Bahrain,28350812,
-4.4657125473,28.9930610657,-2.31012320518,30.8477287292,Africa/Bujumbura,28350692,
6.22574806213,0.774575054646,12.4183473587,3.85170054436,Africa/Porto-Novo,28350726,
32.2466392517,-64.8960494995,32.3938331604,-64.6519927979,Atlantic/Bermuda,28350869,
4.00308322906,114.07144165,5.04716682434,115.359443665,Asia/Brunei,28350817,
-22.8961334229,-69.6407623291,-9.68056678772,-57.4580955505,America/La_Paz,28350768,
-3.88106632233,-32.4826316833,-3.80481171608,-32.3820037842,America/Noronha,28350781,
-33.750705719,-57.6179656982,-12.4708003998,-39.656791687,America/Sao_Paulo,28350792,
-9.84416770935,-54.8008346558,4.39703321457,-46.0494194031,America/Belem,56043569,
-10.8969459534,-48.7505569458,-1.07055878639,-34.7901229858,America/Fortaleza,56043570,
-13.3123197556,-50.743057251,-5.16416740417,-45.7577819824,America/Araguaina,56043571,
-11.5761127472,-38.2455596924,-8.82805633545,-35.1492271423,America/Maceio,56043572,
-18.3329315186,-46.572227478,-8.530834198,-37.3613777161,America/Bahia,56043573,
-24.071269989,-58.1634559631,-17.1852798462,-50.9234085083,America/Campo_Grande,56043574,
-18.0380592346,-61.6152801514,-7.33916759491,-50.2325057983,America/Cuiaba,56043575,
-9.71702373038,-58.9720878601,2.63247919083,-51.7608051441,America/Santarem,56043576,
-13.6915016174,-66.8305664062,-8.0005569458,-59.818611145,America/Porto_Velho,56043577,
-11.1430521011,-73.9828186035,-7.11428260803,-66.6229934692,America/Rio_Branco,56043578,
-1.42677307129,-64.8050842285,5.2648768425,-58.8705978394,America/Boa_Vista,56043579,
-9.53787333588,-73.7989273071,-4.12289476395,-67.5577429503,America/Eirunepe,56043580,
-9.83833503723,-70.0680236816,2.22316169739,-56.3056869507,America/Manaus,56043581,
-9.48833465576,-41.3708343506,-7.26888942719,-34.8090286255,America/Recife,56043582,
20.9160671234,-80.4992370605,27.2320270538,-72.7115936279,America/Nassau,28350779,
26.7076396942,88.7597198486,28.3237781525,92.1251907349,Asia/Thimphu,28350860,
-26.907245636,19.9995346069,-17.7808132172,29.3607807159,Africa/Gaborone,28350702,
51.2564163208,23.1768894196,56.1658058167,32.7708053589,Europe/Minsk,28350907,
15.8893003464,-89.2248153687,18.4965572357,-87.4681243896,America/Belize,28350740,
53.7987,-123.818,57.4642,-119.998635882,America/Dawson_Creek,28350751,
51.595375061,-67.8165054321,60.3726768494,-56.2764625549,America/Goose_Bay,56043673,
48.2292976379,-102.5,60.0,-88.5,America/Winnipeg,56043674,
50.0813484192,-61.7973175049,51.5922619357,-57.0968170166,America/Blanc-Sablon,56043675,
64.2794189453,-121.968559265,79.4203567505,-89.0,America/Cambridge_Bay,56043676,
64.042936412,-139.458483025,64.0744015878,-139.3616436,America/Dawson,56043677,
60.0,-141.0,69.6447677612,-124.00138092,America/Whitehorse,56043678,
44.9933204651,-79.7654266357,62.5851821899,-57.1000326363,America/Montreal,56043679,
48.0405117713,-92.2672,49.0,-89.9963749864,America/Atikokan,56043680,
74.6282653809,-96.6209640503,75.6427459717,-93.3935012817,America/Resolute,56043681,
46.6143302917,-59.422958374,53.6835823059,-52.6362915039,America/St_Johns,56043682,
45.7286671403,-60.8082847595,46.3411521912,-59.6925621033,America/Glace_Bay,56043683,
44.5674819946,-69.0543136597,48.1135,-63.7779464722,America/Moncton,56043684,
43.3918418884,-66.3918609619,47.808757782,-59.7247390747,America/Halifax,56043685,
50.2592200244,-107.829110438,50.3101560636,-107.758044175,America/Swift_Current,56043686,
48.9903030396,-110.0,60.0,-101.359550476,America/Regina,56043687,
48.7141455168,-94.5900039509,48.7313621479,-94.5486775449,America/Rainy_River,56043688,
48.9953575134,-120.0,60.0,-108.8189,America/Edmonton,56043689,
48.3078651428,-139.053222656,60.0,-116.4299,America/Vancouver,56043690,
60.0,-136.441970825,78.7609558105,-102.00819397,America/Yellowknife,56043691,
68.293019355,-133.794362139,68.4169743187,-133.37883265,America/Inuvik,56043692,
51.1736030579,-85.0,83.1106262207,-68.0,America/Iqaluit,56043693,
58.2822723389,-68.0,82.9648208618,-61.1348114014,America/Pangnirtung,56043694,
48.9502214081,-88.4329978056,49.0392538985,-88.2344849192,America/Nipigon,56043695,
48.2894245016,-89.4278491448,48.5156924163,-89.1187057495,America/Thunder_Bay,56043696,
41.7082939148,-91.0,56.8591690063,-74.3229904175,America/Toronto,56043697,
56.7431221008,-102.00819397,82.4795608521,-85.0,America/Rankin_Inlet,56043698,
-12.1854162216,96.8212814331,-11.8039169312,96.9360809326,Indian/Cocos,28350928,
-8.12906455994,12.2041435242,5.14573955536,24.4213981628,Africa/Kinshasa,28350708,
-13.4556751251,19.6884689331,5.38609790802,31.3059120178,Africa/Lubumbashi,28350713,
2.22051429749,14.4200973511,11.007569313,27.4634208679,Africa/Bangui,28350687,
-5.0272231102,11.2050085068,3.70308184624,18.6498394012,Africa/Brazzaville,28350691,
45.8256950378,5.95747232437,47.8053321838,10.4914722443,Europe/Zurich,28350924,
4.35706710815,-8.59930229187,10.7366418839,-2.49489665031,Africa/Abidjan,28350681,
-21.9441642761,-165.858093262,-8.94402980804,-157.312133789,Pacific/Rarotonga,28350964,
-55.9794960022,-89.142868042,-17.5075531006,-66.4175567627,America/Santiago,28350790,
-27.2029590607,-109.45589447,-27.0586986542,-109.229095459,Pacific/Easter,28350939,
1.6525478363,8.49476337433,13.0780563354,16.1921157837,Africa/Douala,28350699,
18.161277771,96.5217043345,43.3861894662,114.824286181,Asia/Chongqing,56043593,
40.8618240356,121.633043228,53.3677870912,134.773910522,Asia/Harbin,56043594,
30.0298881531,73.5576934814,45.3666381836,84.960781086,Asia/Kashgar,56043595,
20.228471756,81.7105740193,49.1749992371,111.681794329,Asia/Urumqi,56043596,
21.8369159698,108.370151778,53.5608596802,126.04161357,Asia/Shanghai,56043597,
-4.22554445267,-81.7281112671,13.3902921677,-66.8698348999,America/Bogota,28350741,
5.49907445908,-87.0946502686,11.2168188095,-82.5559921265,America/Costa_Rica,28350748,
19.8280830383,-84.9574279785,23.5949249268,-74.1317749023,America/Havana,28350765,
14.8022136688,-25.3587474823,17.197177887,-22.6694431305,Atlantic/Cape_Verde,28350871,
-10.5758609772,105.538948059,-10.4157781601,105.719581604,Indian/Christmas,28350927,
34.5634994507,32.2730827332,35.7015266418,34.5979156494,Asia/Nicosia,28350845,
47.2757759094,5.86563873291,55.0556373596,15.0398893356,Europe/Berlin,28350890,
10.9099168777,41.7734451294,12.7068328857,43.416973114,Africa/Djibouti,28350698,
54.5623893738,8.0756111145,57.7484169006,15.1588335037,Europe/Copenhagen,28350895,
15.2016897202,-61.4841079712,15.6318092346,-61.2441520691,America/Dominica,28350753,
17.4700908661,-72.0034866333,19.9298591614,-68.3199996948,America/Santo_Domingo,28350791,
18.9600276947,-8.67386817932,37.0937232971,11.9795484543,Africa/Algiers,28350684,
-4.99882316589,-81.0785980225,1.43901956081,-75.1845855713,America/Guayaquil,28350762,
-1.41005194187,-92.0107727051,1.66477262974,-89.2398605347,Pacific/Galapagos,28350945,
57.5161933899,21.7734451294,59.6879463196,28.2099723816,Europe/Tallinn,28350918,
21.7253894806,24.6981105804,31.6673336029,36.2429428101,Africa/Cairo,28350693,
20.7741584778,-17.103181839,27.6696739197,-8.67027568817,Africa/El_Aaiun,28350700,
12.3595552444,36.4387779236,18.0030841827,43.148639679,Africa/Asmara,28350685,
27.6388187408,-18.1696376801,29.411397934,-13.417681694,Atlantic/Canary,28350870,
35.9376678467,-9.2907781601,43.791721344,4.3153886795,Europe/Madrid,56043644,
35.1852760315,-5.3845000267,35.9241371155,-2.4212501049,Africa/Ceuta,56043645,
3.40242218971,32.9999389648,14.8937501907,47.9861793518,Africa/Addis_Ababa,28350683,
-20.6759700775,-179.9999,-12.4801111221,179.9999,Pacific/Fiji,28350943,
-52.9005813599,-61.3451919556,-51.0149421692,-57.7124862671,Atlantic/Stanley,28350875,
5.777,157.148,9.796,160.992,Pacific/Ponape,28350962,
5.285,138.053,10.022,153.822,Pacific/Truk,28350969,
5.25983333588,162.900497437,5.3712220192,163.034881592,Pacific/Kosrae,56043583,
61.3949432373,-7.68125009537,62.4007492065,-6.25861120224,Atlantic/Faroe,28350872,
41.3387794495,-5.14222240448,51.0928039551,9.56155586243,Europe/Paris,28350911,
-3.97880578041,8.69547080994,2.32261157036,14.5023469925,Africa/Libreville,28350710,
49.708694458,-8.65066623688,60.8458061218,1.75899994373,Europe/London,28350903,
11.9923744202,-61.7999763489,12.529214859,-61.3764457703,America/Grenada,28350759,
41.0531959534,40.0101394653,43.5864982605,46.7259712219,Asia/Tbilisi,28350858,
2.12709403038,-54.5425109863,5.77649641037,-51.613948822,America/Cayenne,28350744,
4.736723423,-3.2554204464,11.1733007431,1.19178116322,Africa/Accra,28350682,
36.1124153137,-5.35725021362,36.1598052979,-5.33963871002,Europe/Gibraltar,28350897,
75.7456323472,-22.9188427397,79.6535307998,-17.3682079315,America/Danmarkshavn,28350750,
59.7772674561,-67.4183120728,83.6274185181,-11.3123188019,America/Godthab,28350756,
70.399848938,-24.5149559727,72.3482994002,-21.3617801666,America/Scoresbysund,28350793,
75.9108734131,-73.2634658813,79.1716156006,-63.7360115051,America/Thule,28350800,
13.0642518997,-16.8250789642,13.8265705109,-13.7977933884,Africa/Banjul,28350688,
7.19355297089,-15.0862560272,12.6762199402,-7.64107131958,Africa/Conakry,28350695,
-1.45994639397,5.60236692429,3.78597974777,11.335723877,Africa/Malabo,28350715,
34.8096389771,19.3744449615,41.7574157715,29.6470832825,Europe/Athens,28350888,
-59.4842948914,-41.8160552979,-53.6468925476,-26.2293262482,Atlantic/South_Georgia,28350874,
13.7373018265,-92.2414932251,17.8173999786,-88.223197937,America/Guatemala,28350761,
13.2406110764,144.619247437,13.6523332596,144.953979492,Pacific/Guam,28350948,
10.8599700928,-16.7175350189,12.6807889938,-13.6365222931,Africa/Bissau,28350689,
1.17508029938,-61.3847618103,8.55756664276,-56.4802513123,America/Guyana,28350763,
22.1532497406,113.837753296,22.5619468689,114.434753418,Asia/Hong_Kong,28350827,
18.0210323334,-74.4785842896,20.0878200531,-71.6133575439,America/Port-au-Prince,28350785,
45.7436103821,16.1118888855,48.5856666565,22.9060001373,Europe/Budapest,28350893,
-8.7807226181,95.0093307495,5.90441656113,116.261863708,Asia/Jakarta,28350830,
-9.13133335114,124.280525208,2.64555549622,141.02180481,Asia/Jayapura,28350831,
-11.004860878,113.717201233,4.80163908005,127.14655304,Asia/Makassar,28350842,
-3.57005548477,108.017608643,2.08333325386,115.756599426,Asia/Pontianak,56043584,
51.4245567322,-10.6181106567,55.4365005493,-6.00238895416,Europe/Dublin,28350896,
29.4915370941,34.2659492493,33.2894744873,35.6699333191,Asia/Jerusalem,28350832,
6.74713897705,68.1628341675,35.5042228699,97.4033050537,Asia/Kolkata,28350818,
-7.43802785873,71.2599716187,-5.22716665268,72.4931640625,Indian/Chagos,28350926,
29.061208725,38.7896156311,37.3809318542,48.5759162903,Asia/Baghdad,28350811,
25.0640830994,44.0472793579,39.7772216797,63.3174705505,Asia/Tehran,28350859,
17.7035541534,-78.3666381836,18.5269756317,-76.1803207397,America/Jamaica,28350767,
63.2867546082,-24.5465240479,66.5637741089,-13.4958152771,Atlantic/Reykjavik,28350873,
29.1850357056,34.9579811096,33.3712501526,39.3012008667,Asia/Amman,28350808,
24.0364723206,122.938529968,45.5231399536,153.985229492,Asia/Tokyo,28350861,
-4.67804670334,33.9088592529,4.62933254242,41.8990783691,Africa/Nairobi,28350721,
39.172832489,69.2766113281,43.2382240295,80.283164978,Asia/Bishkek,28350816,
9.90625,102.339996338,14.686416626,107.627723694,Asia/Phnom_Penh,28350847,
-4.69578695297,-174.546661377,-2.76472830772,-170.7084198,Pacific/Enderbury,28350941,
-11.4370384216,-160.778106689,4.71956968307,-150.208358765,Pacific/Kiritimati,28350951,
-2.67302775383,169.522521973,3.3917222023,176.850143433,Pacific/Tarawa,28350967,
-12.4138212204,43.2157897949,-11.3623809814,44.5382232666,Indian/Comoro,28350929,
17.0953426361,-62.8695602417,17.4201183319,-62.5432662964,America/St_Kitts,28350795,
37.5973052979,124.18863678,43.0115890503,130.674865723,Asia/Pyongyang,28350848,
33.1061096191,124.608139038,38.6124458313,130.923217773,Asia/Seoul,28350854,
28.5246105194,46.5564613342,30.1036987305,48.4314727783,Asia/Kuwait,28350839,
19.2630290985,-81.4327774048,19.7616996765,-79.7272720337,America/Cayman,28350745,
45.174785614,53.6046829224,51.3077697754,64.2933197021,Asia/Aqtobe,56043585,
42.4236068726,58.5786857605,54.7125816345,68.1113739014,Asia/Qyzylorda,56043586,
41.2401390076,47.0176391602,49.2390670776,56.7502746582,Asia/Aqtau,56043587,
47.9788665771,46.491859436,51.7666130066,54.5749969482,Asia/Oral,56043588,
40.9363327026,62.6930541992,55.4511947632,87.3126678467,Asia/Almaty,56043589,
13.910027504,100.093055725,22.5003890991,107.697029114,Asia/Vientiane,28350863,
33.0545654297,35.114276886,34.6848564148,36.6253623962,Asia/Beirut,28350815,
13.7047777176,-61.0741500854,14.1032447815,-60.8742027283,America/St_Lucia,28350796,
47.0558624268,9.47780513763,47.2735290527,9.63219451904,Europe/Vaduz,28350920,
5.91683340073,79.6529159546,9.83136081696,81.8812789917,Asia/Colombo,28350820,
4.35305690765,-11.4920825958,8.5517911911,-7.36511325836,Africa/Monrovia,28350720,
-30.668964386,27.0290679932,-28.572057724,29.4657611847,Africa/Maseru,28350717,
53.9013061523,20.9415283203,56.4469184875,26.8719444275,Europe/Vilnius,28350922,
49.4465827942,5.73455572128,50.1849441528,6.52847242355,Europe/Luxembourg,28350904,
55.6688613892,20.9742774963,58.0823059082,28.2411670685,Europe/Riga,28350913,
19.5080451965,9.38702011108,33.1689987183,25.1506118774,Africa/Tripoli,28350728,
27.662115097,-13.1685857773,35.9280281067,-0.991750001907,Africa/Casablanca,28350694,
43.7319717407,7.39575004578,43.7695274353,7.45227766037,Europe/Monaco,28350908,
45.4668807983,26.618888855,48.4901657104,30.1354446411,Europe/Chisinau,28350894,
-25.6089515686,43.1913795471,-11.945432663,50.4837799072,Indian/Antananarivo,28350925,
4.57486104965,160.952560425,14.655166626,172.162002563,Pacific/Majuro,56043590,
8.71188926697,166.817718506,9.40288925171,167.775497437,Pacific/Kwajalein,56043591,
10.1595125198,-12.2426137924,25.0000019073,4.24496841431,Africa/Bamako,28350686,
9.60036087036,92.1892776489,28.5432491302,101.176780701,Asia/Rangoon,28350850,
44.7553596497,111.360702515,50.2829170227,119.924308777,Asia/Choibalsan,28350819,
42.701839447,87.7496643066,50.8946380615,99.2212371826,Asia/Hovd,28350828,
41.5676383972,96.9535064697,52.1542510986,112.735702515,Asia/Ulaanbaatar,28350862,
22.110666275,113.528945923,22.2223339081,113.591026306,Asia/Macau,28350840,
14.1073608398,144.886077881,20.542804718,146.081222534,Pacific/Saipan,28350965,
14.3922624588,-61.2301177979,14.878818512,-60.8155097961,America/Martinique,28350773,
14.715546608,-17.0665206909,27.2980728149,-4.82767438889,Africa/Nouakchott,28350724,
16.6710071564,-62.2425842285,16.8173294067,-62.1464195251,America/Montserrat,28350778,
35.8102760315,14.1915836334,36.0820274353,14.5776386261,Europe/Malta,28350906,
-20.5257167816,56.5127182007,-10.3192548752,63.5001792908,Indian/Mauritius,28350933,
-0.692694425583,72.6838912964,7.09836101532,73.7061691284,Indian/Maldives,28350932,
-17.125,32.6739501953,-9.36754131317,35.9168205261,Africa/Blantyre,28350690,
26.3148880005,-115.028945923,32.4959259033,-108.467506409,America/Hermosillo,28350766,
18.3462085724,-115.212371826,28.0024986267,-103.94493103,America/Mazatlan,28350774,
31.6859856637,-117.298934937,32.716758728,-114.717033386,America/Tijuana,28350801,
25.606086731,-109.146392822,31.5840022851,-103.433628531,America/Chihuahua,56043598,
17.8173999786,-89.4305496216,21.60572052,-86.7033920288,America/Cancun,56043599,
17.8173999786,-92.4819488525,22.5648002625,-87.5391921997,America/Merida,56043600,
22.213886261,-107.124732971,29.557913822,-97.2004168248,America/Monterrey,56043601,
14.5345478058,-105.701301575,25.1555519104,-90.3715438843,America/Mexico_City,56043602,
1.26086115837,98.9350280762,6.71413898468,104.546279907,Asia/Kuala_Lumpur,56043603,
0.855222225189,109.536026001,7.36341667175,119.267501831,Asia/Kuching,56043604,
-26.8686847687,30.2173194885,-10.4718828201,40.8444709778,Africa/Maputo,28350716,
-28.9714298248,11.7156295776,-16.9598941803,25.2567005157,Africa/Windhoek,28350730,
-22.7146396637,158.197631836,-19.103805542,172.061386108,Pacific/Noumea,28350958,
11.6969747543,0.166250437498,23.5250263214,15.995642662,Africa/Niamey,28350723,
-29.1193618774,167.916412354,-28.992389679,168.000061035,Pacific/Norfolk,28350957,
4.27714395523,2.66843247414,13.8920068741,14.6800727844,Africa/Lagos,28350709,
10.7075433731,-87.6903076172,15.0259094238,-82.5920715332,America/Managua,28350771,
50.7539176941,3.36255550385,53.5551376343,7.22794437408,Europe/Amsterdam,28350886,
26.3567218781,80.0562744141,30.4333896637,88.1993331909,Asia/Kathmandu,28350836,
-0.55233335495,166.899032593,-0.504305541515,166.945281982,Pacific/Nauru,28350955,
-19.1521930695,-169.951004028,-18.9510688782,-169.775177002,Pacific/Niue,28350956,
-52.6075820923,-178.628158569,-29.2410964966,179.102386475,Pacific/Auckland,28350937,
-44.4408226013,-176.931030273,-43.567741394,-175.836410522,Pacific/Chatham,28350938,
16.6544017792,52.0,26.3879718781,59.8365821838,Asia/Muscat,28350844,
7.19790649414,-83.0514450073,9.6444311142,-77.1741104126,America/Panama,28350782,
-18.3497276306,-81.3267440796,-0.0129772480577,-68.677986145,America/Lima,28350769,
-23.1907348633,-136.757751465,-21.2932758331,-134.878341675,Pacific/Gambier,28350946,
-10.5390281677,-140.720932007,-7.8282456398,-138.593521118,Pacific/Marquesas,28350953,
-27.6535720825,-154.688171387,-14.0917844772,-136.301651001,Pacific/Tahiti,28350966,
-11.6578607559,140.84286499,-0.877888917923,159.47819519,Pacific/Port_Moresby,28350963,
4.61344432831,116.931556702,21.1206111908,126.601524353,Asia/Manila,28350843,
23.694694519,60.8786125183,37.0970001221,77.8409194946,Asia/Karachi,28350835,
49.006362915,14.123000145,54.839138031,24.1507492065,Europe/Warsaw,28350923,
46.7532653809,-56.4206581116,47.1462860107,-56.1573677063,America/Miquelon,28350776,
17.8830451965,-67.9427261353,18.5201663971,-65.2199859619,America/Puerto_Rico,28350787,
31.2222881317,34.2203865051,31.5940551758,34.5462760925,Asia/Gaza,28350826,
36.9261665344,-31.265750885,39.7320823669,-25.015832901,Atlantic/Azores,28350868,
36.9612503052,-9.49594402313,42.1456375122,-6.18269443512,Europe/Lisbon,56043605,
30.1388893127,-17.2660827637,33.1166648865,-15.857749939,Atlantic/Madeira,56043606,
3.00113892555,131.169219971,8.09291648865,134.723724365,Pacific/Palau,28350960,
-27.6087379456,-62.6470756531,-19.2940406799,-54.2593536377,America/Asuncion,28350737,
24.4733295441,50.7572212219,26.1775836945,52.4275817871,Asia/Qatar,28350849,
-21.3722114563,55.2190856934,-20.8568553925,55.8450393677,Indian/Reunion,28350935,
43.6273040771,20.2643947601,48.2652740479,29.6910552979,Europe/Bucharest,28350892,
49.953414917,95.6519317627,64.3008117676,119.135536194,Asia/Irkutsk,28350829,
49.7566947937,76.1140518188,81.265335083,113.919746399,Asia/Krasnoyarsk,28350837,
43.3596382141,138.903103279,72.331413269,163.466064453,Asia/Magadan,28350841,
48.8524169922,105.520828247,74.684387207,135.843165592,Asia/Yakutsk,28350865,
50.5144729614,50.7716407776,73.5260543823,86.0310974121,Asia/Yekaterinburg,28350866,
54.3206939697,19.6381664276,55.2906684875,22.8928050995,Europe/Kaliningrad,28350900,
51.7691802979,47.9419326782,58.5463867188,54.4026794434,Europe/Samara,28350915,
53.3480873108,75.0541534424,61.0491638184,89.4038696289,Asia/Novosibirsk,56043607,
49.0830841064,70.3276748657,58.5811080933,89.8699798584,Asia/Omsk,56043608,
42.2836112976,130.043769876,77.0063858032,158.150497437,Asia/Vladivostok,56043609,
45.8893051147,141.195388794,54.4158592224,144.751586914,Asia/Sakhalin,56043610,
61.8098335266,-179.9999,71.6120910645,179.9999,Asia/Anadyr,56043611,
50.8691673279,155.546585083,64.9399719238,174.51361084,Asia/Kamchatka,56043612,
45.172832489,41.1563796997,61.0644378662,53.9283294678,Europe/Volgograd,56043613,
41.1888618469,26.9453048706,81.8573608398,78.9705276489,Europe/Moscow,56043614,
-2.84067940712,28.8567943573,-1.05348145962,30.8959579468,Africa/Kigali,28350707,
15.6142501831,34.4956932068,32.1543235779,55.6666984558,Asia/Riyadh,28350851,
-12.2918891907,155.508605957,-5.07830572128,168.843505859,Pacific/Guadalcanal,28350947,
-10.1937055588,46.1992034912,-3.71151924133,56.2795066833,Indian/Mahe,28350931,
8.69235801697,21.8389472961,23.1468887329,38.5800285339,Africa/Khartoum,28350706,
55.3371124268,10.9867219925,69.0625,24.1632785797,Europe/Stockholm,28350917,
1.1640278101,103.638275146,1.47127783298,104.090057373,Asia/Singapore,28350856,
-40.3671379089,-14.4212303162,-7.88781547546,-5.63875293732,Atlantic/St_Helena,28350876,
6.92868900299,-13.3076305389,10.0,-10.2842378616,Africa/Freetown,28350701,
12.3072748184,-17.5352363586,16.6916332245,-11.355887413,Africa/Dakar,28350696,
-1.6620528698,40.9886322021,11.9851942062,51.413028717,Africa/Mogadishu,28350719,
1.83114516735,-58.0865631104,6.00454616547,-53.9774932861,America/Paramaribo,28350783,
-0.0140044437721,6.47017002106,1.70132303238,7.46637439728,Africa/Sao_Tome,28350727,
13.1486787796,-90.1286621094,14.4450674057,-87.6921615601,America/El_Salvador,28350755,
32.3161888123,35.5868988037,37.3191375732,42.3753814697,Asia/Damascus,28350821,
-27.3171005249,30.7941074371,-25.7196483612,32.137260437,Africa/Mbabane,28350718,
21.1700363159,-72.48387146,21.9736118317,-71.0803375244,America/Grand_Turk,28350758,
7.44106769562,13.4734754562,23.4503688812,24.0026607513,Africa/Ndjamena,28350722,
-50.0202636719,50.1702575684,-37.7907218933,77.5988082886,Indian/Kerguelen,28350930,
6.10441732407,-0.147323876619,11.1389770508,1.80669283867,Africa/Lome,28350711,
5.61000013351,97.3456420898,20.4631938934,105.639389038,Asia/Bangkok,28350814,
36.6741371155,67.3871383667,41.0422515869,75.13722229,Asia/Dushanbe,28350825,
-9.38111114502,-172.500335693,-8.55361366272,-171.211425781,Pacific/Fakaofo,28350942,
-9.46362686157,124.048873901,-8.1374168396,127.345336914,Asia/Dili,28350823,
35.1410827637,52.441444397,42.7955551147,66.6843032837,Asia/Ashgabat,28350810,
30.2404174805,7.52483320236,37.5439147949,11.5982780457,Africa/Tunis,28350729,
-22.3457164764,-176.212631226,-15.5629882813,-173.702484131,Pacific/Tongatapu,28350968,
35.8154182434,25.6685009003,42.1076126099,44.8349990845,Europe/Istanbul,28350899,
10.0361051559,-61.9237709045,11.338341713,-60.4895515442,America/Port_of_Spain,28350786,
-9.43619441986,176.064865112,-5.64197206497,179.863357544,Pacific/Funafuti,28350944,
20.6975002289,116.706665039,26.3920555115,122.000442505,Asia/Taipei,28350857,
-11.7456960678,29.327167511,-0.990735948086,40.4432220459,Africa/Dar_es_Salaam,28350697,
44.3904151917,32.4829177856,46.2824935913,36.6479721069,Europe/Simferopol,56043615,
46.0798339844,34.2034835815,48.1309280396,37.2238769531,Europe/Zaporozhye,56043616,
47.9058876038,22.1288890839,49.0960273743,24.6449966431,Europe/Uzhgorod,56043617,
45.2169151306,22.6669445038,52.3693618774,40.2073898315,Europe/Kiev,56043618,
-1.48404955864,29.5732517242,4.21442651749,35.0360488892,Africa/Kampala,28350705,
16.7265491486,-169.543487549,16.7411327362,-169.517105103,Pacific/Johnston,28350950,
28.1996650696,-178.314697266,28.4453601837,-177.319320679,Pacific/Midway,28350954,
